Current,PAST,ACRES
Current Agricultural,Past  Hardwood,3
Current Agricultural,Past  Hardwood-Conifer,31
Current Agricultural,Past  Riparian,1
Current  Conifer,Past  Hardwood,373
Current  Conifer,Past  Hardwood-Conifer,1454
Current  Conifer,Past  Riparian,209
Current  Conifer-Hardwood,Past  Hardwood,1466
Current  Conifer-Hardwood,Past  Hardwood-Conifer,8935
Current  Conifer-Hardwood,Past  Riparian,456
Developed,Past  Hardwood,94
Developed,Past  Hardwood-Conifer,184
Developed,Past  Riparian,14
Exotics,Past  Hardwood,1
Exotics,Past  Hardwood-Conifer,73
Exotics,Past  Riparian,0
Current  Hardwood,Past  Hardwood,1433
Current  Hardwood,Past  Hardwood-Conifer,8517
Current  Hardwood,Past  Riparian,242
Current  Riparian,Past  Hardwood,50
Current  Riparian,Past  Hardwood-Conifer,315
Current  Riparian,Past  Riparian,119
