"","BPS_ID","EVT_ID","freq","acres","BPS_NAME","bps_acres","EVT_NAME","evt_acres"
"1",11,7292,840,187,"BPS  Open Water",187,"EVT  Open Water",187
"2",1943,7296,1,0,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Developed-Low Intensity",5
"3",1943,7299,30,7,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Developed-Roads",123
"4",1943,7303,936,208,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Northeastern Interior Dry-Mesic Oak Forest",4134
"5",1943,7369,3,1,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Central Appalachian Dry Pine Forest",44
"6",1943,7370,65,14,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Appalachian Hemlock Forest",827
"7",1943,7377,42,9,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Central Appalachian Pine Rocky Woodland",1140
"8",1943,7463,298,66,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Central Appalachian Dry Oak Forest",1870
"9",1943,7502,27,6,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Central Appalachian Dry Oak-Pine Forest",534
"10",1943,7511,247,55,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Appalachian Northern Hardwood Forest",1060
"11",1943,7512,363,81,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Appalachian (Hemlock)-Northern Hardwood Forest",3019
"12",1943,7556,228,51,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Central Appalachian Oak Rocky Woodland",3081
"13",1943,7557,152,34,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Central Appalachian Pine-Oak Rocky Woodland",7138
"14",1943,7905,28,6,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Eastern Cool Temperate Urban Deciduous Forest",105
"15",1943,7906,6,1,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Eastern Cool Temperate Urban Evergreen Forest",11
"16",1943,7907,9,2,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Eastern Cool Temperate Urban Mixed Forest",35
"17",1943,7908,8,2,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Eastern Cool Temperate Urban Herbaceous",8
"18",1943,7909,1,0,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Eastern Cool Temperate Urban Shrubland",1
"19",1943,7925,3,1,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Eastern Cool Temperate Developed Deciduous Forest",2
"20",1943,7974,3,1,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Eastern Cool Temperate Row Crop",4
"21",1943,7977,2,0,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Eastern Cool Temperate Pasture and Hayland",17
"22",1943,9176,1,0,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  North-Central Appalachian Seepage Fen",7
"23",1943,9177,130,29,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  North-Central Interior and Appalachian Acidic Peatland Woodland",370
"24",1943,9178,1,0,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  North-Central Interior and Appalachian Rich Swamp",5
"25",1943,9288,35,8,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Northeastern Interior Calcareous Oak Forest",43
"26",1943,9315,41,9,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Northern & Central Native Ruderal Forest",166
"27",1943,9817,1,0,"BPS  Laurentian-Acadian Northern Hardwoods Forest",592,"EVT  Northern & Central Ruderal Meadow",70
"28",1944,7299,1,0,"BPS  Northeastern Interior Dry-Mesic Oak Forest",330,"EVT  Developed-Roads",123
"29",1944,7303,78,17,"BPS  Northeastern Interior Dry-Mesic Oak Forest",330,"EVT  Northeastern Interior Dry-Mesic Oak Forest",4134
"30",1944,7318,1,0,"BPS  Northeastern Interior Dry-Mesic Oak Forest",330,"EVT  Southern and Central Appalachian Cove Forest",1
"31",1944,7369,7,2,"BPS  Northeastern Interior Dry-Mesic Oak Forest",330,"EVT  Central Appalachian Dry Pine Forest",44
"32",1944,7370,14,3,"BPS  Northeastern Interior Dry-Mesic Oak Forest",330,"EVT  Appalachian Hemlock Forest",827
"33",1944,7377,59,13,"BPS  Northeastern Interior Dry-Mesic Oak Forest",330,"EVT  Central Appalachian Pine Rocky Woodland",1140
"34",1944,7463,31,7,"BPS  Northeastern Interior Dry-Mesic Oak Forest",330,"EVT  Central Appalachian Dry Oak Forest",1870
"35",1944,7502,35,8,"BPS  Northeastern Interior Dry-Mesic Oak Forest",330,"EVT  Central Appalachian Dry Oak-Pine Forest",534
"36",1944,7511,22,5,"BPS  Northeastern Interior Dry-Mesic Oak Forest",330,"EVT  Appalachian Northern Hardwood Forest",1060
"37",1944,7512,122,27,"BPS  Northeastern Interior Dry-Mesic Oak Forest",330,"EVT  Appalachian (Hemlock)-Northern Hardwood Forest",3019
"38",1944,7556,269,60,"BPS  Northeastern Interior Dry-Mesic Oak Forest",330,"EVT  Central Appalachian Oak Rocky Woodland",3081
"39",1944,7557,812,181,"BPS  Northeastern Interior Dry-Mesic Oak Forest",330,"EVT  Central Appalachian Pine-Oak Rocky Woodland",7138
"40",1944,7905,10,2,"BPS  Northeastern Interior Dry-Mesic Oak Forest",330,"EVT  Eastern Cool Temperate Urban Deciduous Forest",105
"41",1944,9174,8,2,"BPS  Northeastern Interior Dry-Mesic Oak Forest",330,"EVT  North-Central Appalachian Acidic Swamp",87
"42",1944,9178,6,1,"BPS  Northeastern Interior Dry-Mesic Oak Forest",330,"EVT  North-Central Interior and Appalachian Rich Swamp",5
"43",1944,9288,7,2,"BPS  Northeastern Interior Dry-Mesic Oak Forest",330,"EVT  Northeastern Interior Calcareous Oak Forest",43
"44",1944,9312,1,0,"BPS  Northeastern Interior Dry-Mesic Oak Forest",330,"EVT  Northeastern North American Temperate Forest Plantation",27
"45",1944,9315,2,0,"BPS  Northeastern Interior Dry-Mesic Oak Forest",330,"EVT  Northern & Central Native Ruderal Forest",166
"46",1947,7296,1,0,"BPS  Laurentian-Acadian Pine-Hemlock-Hardwood Forest",114,"EVT  Developed-Low Intensity",5
"47",1947,7299,4,1,"BPS  Laurentian-Acadian Pine-Hemlock-Hardwood Forest",114,"EVT  Developed-Roads",123
"48",1947,7303,12,3,"BPS  Laurentian-Acadian Pine-Hemlock-Hardwood Forest",114,"EVT  Northeastern Interior Dry-Mesic Oak Forest",4134
"49",1947,7370,4,1,"BPS  Laurentian-Acadian Pine-Hemlock-Hardwood Forest",114,"EVT  Appalachian Hemlock Forest",827
"50",1947,7377,46,10,"BPS  Laurentian-Acadian Pine-Hemlock-Hardwood Forest",114,"EVT  Central Appalachian Pine Rocky Woodland",1140
"51",1947,7463,16,4,"BPS  Laurentian-Acadian Pine-Hemlock-Hardwood Forest",114,"EVT  Central Appalachian Dry Oak Forest",1870
"52",1947,7502,11,2,"BPS  Laurentian-Acadian Pine-Hemlock-Hardwood Forest",114,"EVT  Central Appalachian Dry Oak-Pine Forest",534
"53",1947,7511,31,7,"BPS  Laurentian-Acadian Pine-Hemlock-Hardwood Forest",114,"EVT  Appalachian Northern Hardwood Forest",1060
"54",1947,7512,97,22,"BPS  Laurentian-Acadian Pine-Hemlock-Hardwood Forest",114,"EVT  Appalachian (Hemlock)-Northern Hardwood Forest",3019
"55",1947,7556,53,12,"BPS  Laurentian-Acadian Pine-Hemlock-Hardwood Forest",114,"EVT  Central Appalachian Oak Rocky Woodland",3081
"56",1947,7557,41,9,"BPS  Laurentian-Acadian Pine-Hemlock-Hardwood Forest",114,"EVT  Central Appalachian Pine-Oak Rocky Woodland",7138
"57",1947,7905,16,4,"BPS  Laurentian-Acadian Pine-Hemlock-Hardwood Forest",114,"EVT  Eastern Cool Temperate Urban Deciduous Forest",105
"58",1947,7906,1,0,"BPS  Laurentian-Acadian Pine-Hemlock-Hardwood Forest",114,"EVT  Eastern Cool Temperate Urban Evergreen Forest",11
"59",1947,7907,4,1,"BPS  Laurentian-Acadian Pine-Hemlock-Hardwood Forest",114,"EVT  Eastern Cool Temperate Urban Mixed Forest",35
